Weights
[-0.0694555  1.0694555]
[0.11424694 0.88575306]
[0.08721656 0.91278344]
[-0.33782652  1.33782652]
[0.98044354 0.01955646]
[0.05127435 0.94872565]
[ 1.15672688 -0.15672688]
[-0.00707097  1.00707097]
[ 1.15732667 -0.15732667]
[-64.00657328  65.00657328]
[0.51614138 0.48385862]
[ 1.1876587 -0.1876587]
[ 1.6293626 -0.6293626]
