time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,1,300
23000,1,300
24000,1,300
25000,1,300
26000,1,300
27000,1,300
28000,1,300
29000,1,300
30000,1,300
31000,1,300
32000,1,300
33000,1,300
34000,1,300
35000,1,300
36000,1,300
37000,1,300
38000,1,300
39000,1,300
40000,1,300
41000,1,300
42000,1,300
43000,1,300
44000,1,300
45000,1,300
46000,1,300
47000,1,300
48000,1,300
49000,1,300
50000,1,300
51000,1,300
52000,1,300
53000,1,300
54000,1,300
55000,2,299
56000,2,299
57000,2,299
58000,2,299
59000,2,299
60000,2,299
61000,2,299
62000,3,273
63000,3,273
64000,3,273
65000,3,273
66000,3,273
67000,3,273
68000,4,272
69000,5,241
70000,5,241
71000,5,241
72000,5,241
73000,5,241
74000,5,241
75000,5,241
76000,5,241
77000,6,240
78000,6,240
79000,6,240
80000,7,230
81000,8,232
82000,8,232
83000,8,232
84000,8,232
85000,8,232
86000,8,232
87000,9,217
88000,11,142
89000,12,73
90000,12,73
91000,12,73
92000,12,73
93000,12,73
94000,12,73
95000,12,73
96000,12,73
97000,12,73
98000,12,73
99000,12,73
100000,12,73
101000,12,73
102000,12,73
103000,12,73
104000,12,73
105000,12,73
106000,12,73
107000,12,73
108000,12,73
109000,12,73
110000,12,73
111000,13,75
112000,13,75
113000,13,75
114000,13,75
115000,13,75
116000,13,75
117000,13,75
118000,13,75
119000,13,75
120000,13,75
121000,13,75
122000,14,75
123000,14,75
124000,14,75
125000,14,75
126000,14,75
127000,14,75
128000,14,75
129000,14,75
130000,14,75
131000,14,75
132000,14,75
133000,14,75
134000,14,75
135000,14,75
136000,14,75
137000,14,75
138000,14,75
139000,14,75
140000,14,75
141000,14,75
142000,14,75
143000,14,75
144000,14,75
145000,14,75
146000,14,75
147000,14,75
148000,14,75
149000,14,75
150000,14,75
151000,14,75
152000,14,75
153000,14,75
154000,14,75
155000,14,75
156000,14,75
157000,14,75
158000,14,75
159000,14,75
160000,14,75
161000,14,75
162000,14,75
163000,14,75
164000,14,75
165000,14,75
166000,15,75
167000,15,75
168000,15,75
169000,15,75
170000,15,75
171000,15,75
172000,15,75
173000,15,75
174000,15,75
175000,15,75
176000,15,75
177000,15,75
178000,15,75
179000,15,75
180000,15,75
181000,15,75
182000,15,75
183000,15,75
184000,15,75
185000,15,75
186000,16,75
187000,16,75
188000,16,75
189000,16,75
190000,16,75
191000,16,75
192000,16,75
193000,16,75
194000,16,75
195000,16,75
196000,16,75
197000,16,75
198000,16,75
199000,16,75
200000,16,75
