time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,0,300
23000,0,300
24000,0,300
25000,0,300
26000,0,300
27000,0,300
28000,0,300
29000,0,300
30000,0,300
31000,0,300
32000,0,300
33000,0,300
34000,0,300
35000,0,300
36000,0,300
37000,0,300
38000,0,300
39000,0,300
40000,0,300
41000,0,300
42000,0,300
43000,0,300
44000,0,300
45000,0,300
46000,0,300
47000,0,300
48000,1,300
49000,1,300
50000,1,300
51000,1,300
52000,1,300
53000,1,300
54000,1,300
55000,1,300
56000,1,300
57000,1,300
58000,1,300
59000,1,300
60000,1,300
61000,1,300
62000,1,300
63000,1,300
64000,1,300
65000,1,300
66000,1,300
67000,1,300
68000,2,287
69000,2,287
70000,2,287
71000,2,287
72000,2,287
73000,2,287
74000,2,287
75000,3,211
76000,3,211
77000,4,110
78000,4,110
79000,4,110
80000,4,110
81000,4,110
82000,4,110
83000,4,110
84000,4,110
85000,4,110
86000,4,110
87000,4,110
88000,4,110
89000,4,110
90000,4,110
91000,4,110
92000,4,110
93000,5,110
94000,6,100
95000,6,100
96000,6,100
97000,6,100
98000,7,100
99000,7,100
100000,7,100
101000,7,100
102000,7,100
103000,7,100
104000,7,100
105000,8,100
106000,8,100
107000,8,100
108000,8,100
109000,8,100
110000,8,100
111000,8,100
112000,8,100
113000,8,100
114000,8,100
115000,8,100
116000,9,20
117000,9,20
118000,9,20
119000,9,20
120000,9,20
121000,9,20
122000,9,20
123000,9,20
124000,9,20
125000,9,20
126000,9,20
127000,9,20
128000,10,20
129000,10,20
130000,10,20
131000,11,20
132000,11,20
133000,11,20
134000,11,20
135000,11,20
136000,11,20
137000,11,20
138000,11,20
139000,11,20
140000,11,20
141000,11,20
142000,11,20
143000,11,20
144000,11,20
145000,11,20
146000,11,20
147000,11,20
148000,11,20
149000,12,20
150000,13,20
151000,13,20
152000,13,20
153000,13,20
154000,13,20
155000,13,20
156000,13,20
157000,13,20
158000,13,20
159000,13,20
160000,13,20
161000,13,20
162000,13,20
163000,13,20
164000,13,20
165000,13,20
166000,13,20
167000,13,20
168000,13,20
169000,13,20
170000,13,20
171000,13,20
172000,13,20
173000,13,20
174000,13,20
175000,13,20
176000,13,20
177000,13,20
178000,13,20
179000,13,20
180000,13,20
181000,13,20
182000,13,20
183000,13,20
184000,13,20
185000,13,20
186000,13,20
187000,13,20
188000,13,20
189000,13,20
190000,13,20
191000,13,20
192000,13,20
193000,13,20
194000,13,20
195000,13,20
196000,13,20
197000,13,20
198000,13,20
199000,13,20
200000,13,20
