Weights
[-0.15529608  1.15529608]
[0.10845303 0.89154697]
[0.12487184 0.87512816]
[0.35154175 0.64845825]
[-0.02664666  1.02664666]
[ 1.61613234 -0.61613234]
[-0.19791429  1.19791429]
[-0.20285025  1.20285025]
[0.32222108 0.67777892]
[0.43767678 0.56232322]
[0.85584225 0.14415775]
[0.88855708 0.11144292]
[0.85746004 0.14253996]
[0.92105337 0.07894663]
[0.91850933 0.08149067]
[0.82775014 0.17224986]
[0.70296658 0.29703342]
[0.849078 0.150922]
[0.44613954 0.55386046]
[0.67583556 0.32416444]
[0.93232272 0.06767728]
[0.91725124 0.08274876]
[0.79871192 0.20128808]
[0.89736359 0.10263641]
[0.92554238 0.07445762]
[0.60543896 0.39456104]
