time,nb dead,nb package
1000,0,200
2000,0,200
3000,0,200
4000,0,200
5000,0,200
6000,0,200
7000,0,200
8000,0,200
9000,0,200
10000,0,200
11000,0,200
12000,0,200
13000,0,200
14000,0,200
15000,0,200
16000,0,200
17000,0,200
18000,0,200
19000,0,200
20000,0,200
21000,0,200
22000,0,200
23000,0,200
24000,0,200
25000,0,200
26000,0,200
27000,0,200
28000,0,200
29000,0,200
30000,0,200
31000,0,200
32000,1,122
33000,1,122
34000,1,122
35000,1,122
36000,2,76
37000,2,76
38000,2,76
39000,2,76
40000,3,76
41000,3,76
42000,3,76
43000,3,76
44000,3,76
45000,3,76
46000,3,76
47000,3,76
48000,3,76
49000,3,76
50000,3,76
51000,3,76
52000,3,76
53000,3,76
54000,3,76
55000,3,76
56000,3,76
57000,3,76
58000,3,76
59000,3,76
60000,3,76
61000,3,76
62000,3,76
63000,3,76
64000,3,76
65000,3,76
66000,3,76
67000,3,76
68000,3,76
69000,3,76
70000,3,76
71000,3,76
72000,3,76
73000,3,76
74000,3,76
75000,3,76
76000,3,76
77000,3,76
78000,3,76
79000,3,76
80000,3,76
81000,3,76
82000,3,76
83000,3,76
84000,3,76
85000,3,76
86000,3,76
87000,3,76
88000,3,76
89000,3,76
90000,3,76
91000,4,76
92000,4,76
93000,4,76
94000,4,76
95000,5,76
96000,5,76
97000,5,76
98000,5,76
99000,6,75
100000,6,75
101000,6,75
102000,7,75
103000,7,75
104000,7,75
105000,7,75
106000,7,75
107000,7,75
108000,7,75
109000,7,75
110000,7,75
111000,7,75
112000,7,75
113000,7,75
114000,7,75
115000,7,75
116000,7,75
117000,7,75
118000,7,75
119000,7,75
120000,7,75
121000,7,75
122000,7,75
123000,7,75
124000,7,75
125000,7,75
126000,7,75
127000,7,75
128000,7,75
129000,7,75
130000,7,75
131000,7,75
132000,7,75
133000,7,75
134000,7,75
135000,7,75
136000,7,75
137000,8,74
138000,8,74
139000,9,66
140000,9,66
141000,10,66
142000,10,66
143000,10,66
144000,10,66
145000,10,66
146000,10,66
147000,11,66
148000,11,66
149000,11,66
150000,11,66
151000,11,66
152000,11,66
153000,11,66
154000,11,66
155000,11,66
156000,11,66
157000,11,66
158000,11,66
159000,11,66
160000,11,66
161000,11,66
162000,11,66
163000,11,66
164000,11,66
165000,11,66
166000,11,66
167000,11,66
168000,11,66
169000,11,66
170000,11,66
171000,11,66
172000,11,66
173000,11,66
174000,11,66
175000,11,66
176000,11,66
177000,11,66
178000,11,66
179000,11,66
180000,11,66
181000,11,66
182000,11,66
183000,11,66
184000,11,66
185000,11,66
186000,11,66
187000,13,66
188000,13,66
189000,13,66
190000,13,66
191000,13,66
192000,13,66
193000,13,66
194000,13,66
195000,13,66
196000,13,66
197000,13,66
198000,13,66
199000,13,66
200000,13,66
