E_ele,M_ele
0.14726336639040294,0.012195121949732303
0.18219925278234778,0.012195121949732303
0.1472683340009199,0.012195121949732303
0.022211411371461928,0.012195121949732303
0.022220690259543624,0.012195121949732303
0.14732413315072201,0.012195121949732303
0.022220705080442896,0.012195121949732303
0.14732428475123438,0.012195121949732303
0.022220727490258045,0.012195121949732303
0.14732463740699817,0.014705882350778549
0.022220760756537502,0.012345679010821523
0.14732620105599112,0.04166666664930555
0.09562410982491218,0.0124999999984375
0.015803420286116306,0.012658227846498959
0.09562427829166996,0.012195121949732303
0.015803413772346588,0.012345679010821523
0.09562437150302201,0.012345679010821523
0.13557636798315534,0.022727272722107436
0.09562666107382596,0.0
0.12089675078449709,0.0124999999984375
0.12089680693225252,0.012820512818869166
0.08635811859256128,0.0124999999984375
0.017410081853340784,0.013157894735110804
0.017410769149686943,0.0
0.01711690541362467,0.015384615382248522
0.004056014137777994,0.022727272722107436
0.11592850405150067,0.013157894735110804
0.0829364741575118,0.012658227846498959
0.004158864642913286,0.0999999999
0.004419495551159107,0.027027027019722424
0.00457716489946452,0.01428571428367347
0.004835772365111426,0.1999999996
0.01616793858415269,0.3333333322222222
0.004835758715850117,0.0
0.01491269056858582,0.018181818178512395
0.004085124555126465,0.019999999996
0.0042028516766519225,0.045454545433884296
0.10559816349035522,0.0
0.0038250587675620843,0.015624999997558595
