Weights
[0.01300205 0.98699795]
[0.14936888 0.85063112]
[0.60121554 0.39878446]
[-0.46555492  1.46555492]
[-0.06368708  1.06368708]
[0.2946617 0.7053383]
[0.96722776 0.03277224]
