time,nb dead,nb package
1000,0,400
2000,0,400
3000,0,400
4000,0,400
5000,0,400
6000,0,400
7000,0,400
8000,0,400
9000,1,303
10000,1,303
11000,1,303
12000,1,303
13000,1,303
14000,1,303
15000,1,303
16000,1,303
17000,1,303
18000,1,303
19000,1,303
20000,2,303
21000,2,303
22000,2,303
23000,2,303
24000,2,303
25000,2,303
26000,2,303
27000,2,303
28000,3,273
29000,3,273
30000,3,273
31000,3,273
32000,3,273
33000,3,273
34000,3,273
35000,3,273
36000,3,273
37000,3,273
38000,3,273
39000,3,273
40000,3,273
41000,3,273
42000,3,273
43000,4,272
44000,4,272
45000,4,272
46000,4,272
47000,4,272
48000,4,272
49000,4,272
50000,4,272
51000,5,272
52000,5,272
53000,5,272
54000,5,272
55000,5,272
56000,6,272
57000,6,272
58000,6,272
59000,6,272
60000,7,255
61000,7,255
62000,7,255
63000,7,255
64000,7,255
65000,7,255
66000,7,255
67000,8,255
68000,8,255
69000,8,255
70000,9,225
71000,9,225
72000,9,225
73000,9,225
74000,9,225
75000,9,225
76000,9,225
77000,9,225
78000,9,225
79000,9,225
80000,9,225
81000,9,225
82000,9,225
83000,9,225
84000,9,225
85000,10,225
86000,10,225
87000,11,145
88000,11,145
89000,11,145
90000,11,145
91000,11,145
92000,11,145
93000,11,145
94000,11,145
95000,11,145
96000,11,145
97000,11,145
98000,11,145
99000,11,145
100000,12,145
101000,12,145
102000,12,145
103000,12,145
104000,12,145
105000,13,145
106000,13,145
107000,13,145
108000,13,145
109000,13,145
110000,13,145
111000,13,145
112000,13,145
113000,13,145
114000,13,145
115000,13,145
116000,13,145
117000,13,145
118000,13,145
119000,13,145
120000,13,145
121000,13,145
122000,13,145
123000,13,145
124000,13,145
125000,13,145
126000,13,145
127000,13,145
128000,13,145
129000,13,145
130000,13,145
131000,13,145
132000,13,145
133000,13,145
134000,13,145
135000,13,145
136000,13,145
137000,13,145
138000,13,145
139000,13,145
140000,13,145
141000,13,145
142000,13,145
143000,13,145
144000,13,145
145000,13,145
146000,13,145
147000,13,145
148000,13,145
149000,13,145
150000,13,145
151000,13,145
152000,13,145
153000,13,145
154000,13,145
155000,13,145
156000,13,145
157000,13,145
158000,13,145
159000,13,145
160000,13,145
161000,13,145
162000,13,145
163000,13,145
164000,13,145
165000,13,145
166000,13,145
167000,13,145
168000,13,145
169000,13,145
170000,13,145
171000,13,145
172000,13,145
173000,13,145
174000,13,145
175000,13,145
176000,13,145
177000,13,145
178000,13,145
179000,14,145
180000,14,145
181000,14,145
182000,15,145
183000,15,145
184000,15,145
185000,16,128
186000,16,128
187000,16,128
188000,16,128
189000,16,128
190000,16,128
191000,16,128
192000,16,128
193000,17,119
194000,17,119
195000,17,119
196000,17,119
197000,17,119
198000,17,119
199000,18,119
200000,18,119
