time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,1,247
18000,3,200
19000,3,200
20000,5,44
21000,5,44
22000,5,44
23000,5,44
24000,5,44
25000,5,44
26000,5,44
27000,5,44
28000,5,44
29000,5,44
30000,5,44
31000,5,44
32000,5,44
33000,5,44
34000,5,44
35000,5,44
36000,5,44
37000,5,44
38000,6,44
39000,7,44
40000,7,44
41000,7,44
42000,7,44
43000,7,44
44000,7,44
45000,7,44
46000,7,44
47000,7,44
48000,7,44
49000,7,44
50000,7,44
51000,7,44
52000,7,44
53000,7,44
54000,7,44
55000,7,44
56000,7,44
57000,8,43
58000,8,43
59000,8,43
60000,8,43
61000,8,43
62000,8,43
63000,8,43
64000,8,43
65000,8,43
66000,9,43
67000,9,43
68000,9,43
69000,9,43
70000,9,43
71000,9,43
72000,10,30
73000,11,30
74000,11,30
75000,11,30
76000,11,30
77000,11,30
78000,11,30
79000,11,30
80000,11,30
81000,11,30
82000,11,30
83000,11,30
84000,11,30
85000,11,30
86000,11,30
87000,11,30
88000,11,30
89000,11,30
90000,11,30
91000,11,30
92000,11,30
93000,11,30
94000,11,30
95000,11,30
96000,11,30
97000,11,30
98000,11,30
99000,11,30
100000,11,30
101000,11,30
102000,11,30
103000,11,30
104000,11,30
105000,11,30
106000,11,30
107000,11,30
108000,11,30
109000,11,30
110000,11,30
111000,12,30
112000,12,30
113000,12,30
114000,12,30
115000,12,30
116000,12,30
117000,12,30
118000,12,30
119000,12,30
120000,12,30
121000,12,30
122000,12,30
123000,12,30
124000,12,30
125000,12,30
126000,12,30
127000,12,30
128000,12,30
129000,12,30
130000,12,30
131000,12,30
132000,12,30
133000,12,30
134000,12,30
135000,12,30
136000,12,30
137000,12,30
138000,13,30
139000,13,30
140000,13,30
141000,13,30
142000,13,30
143000,13,30
144000,13,30
145000,13,30
146000,13,30
147000,13,30
148000,13,30
149000,13,30
150000,13,30
151000,13,30
152000,13,30
153000,13,30
154000,13,30
155000,13,30
156000,13,30
157000,13,30
158000,13,30
159000,13,30
160000,13,30
161000,13,30
162000,13,30
163000,13,30
164000,13,30
165000,13,30
166000,13,30
167000,13,30
168000,13,30
169000,13,30
170000,13,30
171000,13,30
172000,13,30
173000,13,30
174000,13,30
175000,13,30
176000,13,30
177000,13,30
178000,13,30
179000,13,30
180000,13,30
181000,13,30
182000,13,30
183000,13,30
184000,13,30
185000,13,30
186000,13,30
187000,13,30
188000,13,30
189000,13,30
190000,13,30
191000,13,30
192000,13,30
193000,13,30
194000,13,30
195000,13,30
196000,13,30
197000,13,30
198000,13,30
199000,13,30
200000,13,30
