Weights
[-0.06882835  1.06882835]
[0.00927382 0.99072618]
[0.67987932 0.32012068]
[0.23127909 0.76872091]
[-0.06338881  1.06338881]
[-2.54898669  3.54898669]
[ 1.17590936 -0.17590936]
[ 3.86332349 -2.86332349]
[-0.47632641  1.47632641]
[0.72932839 0.27067161]
[ 1.4907239 -0.4907239]
[0.38598136 0.61401864]
[0.16354105 0.83645895]
[0.02155756 0.97844244]
[ 1.17196093 -0.17196093]
[-0.00180619  1.00180619]
[-0.00412098  1.00412098]
[ 1.19233455 -0.19233455]
[-0.01116792  1.01116792]
[ 8.60638195 -7.60638195]
[-0.01762451  1.01762451]
[0.06803836 0.93196164]
[ 2.34774297 -1.34774297]
[ 5.08287408 -4.08287408]
[0.03562647 0.96437353]
[0.16110596 0.83889404]
[-0.2729659  1.2729659]
[0.58502023 0.41497977]
