time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,0,300
23000,0,300
24000,0,300
25000,0,300
26000,0,300
27000,0,300
28000,0,300
29000,0,300
30000,0,300
31000,0,300
32000,0,300
33000,0,300
34000,0,300
35000,0,300
36000,0,300
37000,0,300
38000,0,300
39000,0,300
40000,0,300
41000,0,300
42000,1,300
43000,1,300
44000,1,300
45000,1,300
46000,1,300
47000,1,300
48000,1,300
49000,1,300
50000,1,300
51000,1,300
52000,1,300
53000,1,300
54000,1,300
55000,1,300
56000,1,300
57000,1,300
58000,1,300
59000,1,300
60000,1,300
61000,1,300
62000,1,300
63000,1,300
64000,1,300
65000,2,274
66000,2,274
67000,2,274
68000,2,274
69000,2,274
70000,2,274
71000,2,274
72000,2,274
73000,2,274
74000,3,173
75000,3,173
76000,7,20
77000,8,20
78000,10,5
79000,10,5
80000,10,5
81000,10,5
82000,10,5
83000,10,5
84000,10,5
85000,10,5
86000,10,5
87000,10,5
88000,10,5
89000,10,5
90000,10,5
91000,10,5
92000,10,5
93000,10,5
94000,11,5
95000,11,5
96000,11,5
97000,11,5
98000,11,5
99000,11,5
100000,11,5
101000,11,5
102000,11,5
103000,11,5
104000,11,5
105000,11,5
106000,11,5
107000,11,5
108000,11,5
109000,11,5
110000,11,5
111000,11,5
112000,11,5
113000,11,5
114000,11,5
115000,11,5
116000,11,5
117000,11,5
118000,11,5
119000,11,5
120000,11,5
121000,11,5
122000,11,5
123000,11,5
124000,11,5
125000,11,5
126000,11,5
127000,11,5
128000,11,5
129000,11,5
130000,11,5
131000,11,5
132000,11,5
133000,11,5
134000,11,5
135000,11,5
136000,11,5
137000,11,5
138000,12,5
139000,12,5
140000,12,5
141000,12,5
142000,12,5
143000,12,5
144000,12,5
145000,12,5
146000,12,5
147000,12,5
148000,12,5
149000,12,5
150000,12,5
151000,12,5
152000,12,5
153000,12,5
154000,12,5
155000,12,5
156000,12,5
157000,12,5
158000,12,5
159000,12,5
160000,12,5
161000,12,5
162000,12,5
163000,12,5
164000,12,5
165000,12,5
166000,12,5
167000,12,5
168000,12,5
169000,12,5
170000,12,5
171000,13,5
172000,13,5
173000,13,5
174000,13,5
175000,13,5
176000,13,5
177000,13,5
178000,13,5
179000,13,5
180000,13,5
181000,14,5
182000,14,5
183000,14,5
184000,14,5
185000,14,5
186000,14,5
187000,14,5
188000,14,5
189000,14,5
190000,14,5
191000,14,5
192000,14,5
193000,14,5
194000,14,5
195000,14,5
196000,14,5
197000,14,5
198000,14,5
199000,14,5
200000,14,5
