time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,0,300
23000,0,300
24000,0,300
25000,0,300
26000,0,300
27000,1,300
28000,1,300
29000,1,300
30000,1,300
31000,2,199
32000,2,199
33000,2,199
34000,3,83
35000,3,83
36000,3,83
37000,3,83
38000,3,83
39000,4,30
40000,4,30
41000,4,30
42000,4,30
43000,4,30
44000,4,30
45000,4,30
46000,5,30
47000,5,30
48000,5,30
49000,5,30
50000,5,30
51000,6,30
52000,6,30
53000,6,30
54000,6,30
55000,6,30
56000,7,30
57000,8,29
58000,8,29
59000,8,29
60000,8,29
61000,8,29
62000,8,29
63000,9,29
64000,9,29
65000,9,29
66000,9,29
67000,9,29
68000,9,29
69000,9,29
70000,10,29
71000,12,16
72000,12,16
73000,12,16
74000,12,16
75000,12,16
76000,12,16
77000,13,16
78000,13,16
79000,13,16
80000,13,16
81000,13,16
82000,13,16
83000,13,16
84000,13,16
85000,13,16
86000,13,16
87000,13,16
88000,13,16
89000,13,16
90000,13,16
91000,13,16
92000,13,16
93000,13,16
94000,13,16
95000,13,16
96000,13,16
97000,13,16
98000,13,16
99000,13,16
100000,13,16
101000,13,16
102000,13,16
103000,13,16
104000,13,16
105000,13,16
106000,13,16
107000,13,16
108000,13,16
109000,13,16
110000,13,16
111000,13,16
112000,13,16
113000,13,16
114000,13,16
115000,13,16
116000,13,16
117000,13,16
118000,13,16
119000,13,16
120000,13,16
121000,13,16
122000,13,16
123000,13,16
124000,13,16
125000,13,16
126000,13,16
127000,13,16
128000,13,16
129000,13,16
130000,13,16
131000,13,16
132000,13,16
133000,13,16
134000,13,16
135000,13,16
136000,13,16
137000,13,16
138000,13,16
139000,13,16
140000,13,16
141000,13,16
142000,13,16
143000,13,16
144000,13,16
145000,13,16
146000,13,16
147000,13,16
148000,14,16
149000,14,16
150000,14,16
151000,14,16
152000,14,16
153000,14,16
154000,14,16
155000,15,16
156000,15,16
157000,15,16
158000,15,16
159000,15,16
160000,15,16
161000,15,16
162000,15,16
163000,15,16
164000,15,16
165000,15,16
166000,15,16
167000,15,16
168000,15,16
169000,15,16
170000,15,16
171000,15,16
172000,15,16
173000,15,16
174000,15,16
175000,15,16
176000,15,16
177000,15,16
178000,15,16
179000,15,16
180000,15,16
181000,15,16
182000,15,16
183000,15,16
184000,15,16
185000,15,16
186000,15,16
187000,15,16
188000,15,16
189000,15,16
190000,15,16
191000,15,16
192000,15,16
193000,15,16
194000,15,16
195000,15,16
196000,15,16
197000,15,16
198000,15,16
199000,15,16
200000,15,16
