Weights
[0.05587554 0.94412446]
[-0.45409276  1.45409276]
[-1.7679509  2.7679509]
[ 4.70331456 -3.70331456]
[-0.21607661  1.21607661]
[ 1.1139073 -0.1139073]
[0.95491631 0.04508369]
[-0.2270702  1.2270702]
[0.665997 0.334003]
[0.41501749 0.58498251]
