time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,0,300
23000,0,300
24000,0,300
25000,0,300
26000,0,300
27000,0,300
28000,0,300
29000,0,300
30000,0,300
31000,0,300
32000,0,300
33000,0,300
34000,0,300
35000,1,287
36000,2,211
37000,2,211
38000,2,211
39000,2,211
40000,2,211
41000,2,211
42000,2,211
43000,3,211
44000,3,211
45000,3,211
46000,3,211
47000,4,110
48000,4,110
49000,4,110
50000,4,110
51000,4,110
52000,4,110
53000,4,110
54000,4,110
55000,4,110
56000,5,109
57000,5,109
58000,5,109
59000,5,109
60000,6,109
61000,6,109
62000,6,109
63000,7,109
64000,7,109
65000,7,109
66000,7,109
67000,7,109
68000,9,96
69000,9,96
70000,9,96
71000,9,96
72000,9,96
73000,9,96
74000,9,96
75000,9,96
76000,9,96
77000,9,96
78000,9,96
79000,9,96
80000,9,96
81000,9,96
82000,9,96
83000,9,96
84000,9,96
85000,9,96
86000,9,96
87000,9,96
88000,10,96
89000,10,96
90000,10,96
91000,10,96
92000,10,96
93000,11,96
94000,11,96
95000,11,96
96000,11,96
97000,11,96
98000,11,96
99000,11,96
100000,11,96
101000,11,96
102000,12,70
103000,12,70
104000,12,70
105000,12,70
106000,12,70
107000,12,70
108000,12,70
109000,12,70
110000,12,70
111000,12,70
112000,12,70
113000,12,70
114000,12,70
115000,12,70
116000,12,70
117000,12,70
118000,12,70
119000,12,70
120000,12,70
121000,12,70
122000,12,70
123000,12,70
124000,12,70
125000,12,70
126000,12,70
127000,12,70
128000,12,70
129000,12,70
130000,12,70
131000,12,70
132000,12,70
133000,12,70
134000,12,70
135000,12,70
136000,12,70
137000,12,70
138000,12,70
139000,12,70
140000,12,70
141000,12,70
142000,12,70
143000,12,70
144000,12,70
145000,12,70
146000,12,70
147000,12,70
148000,12,70
149000,12,70
150000,12,70
151000,12,70
152000,12,70
153000,12,70
154000,12,70
155000,12,70
156000,12,70
157000,12,70
158000,12,70
159000,12,70
160000,12,70
161000,12,70
162000,12,70
163000,12,70
164000,12,70
165000,12,70
166000,12,70
167000,12,70
168000,13,70
169000,13,70
170000,13,70
171000,13,70
172000,13,70
173000,13,70
174000,13,70
175000,13,70
176000,13,70
177000,13,70
178000,13,70
179000,13,70
180000,13,70
181000,13,70
182000,13,70
183000,13,70
184000,13,70
185000,13,70
186000,13,70
187000,14,70
188000,14,70
189000,14,70
190000,14,70
191000,14,70
192000,14,70
193000,14,70
194000,14,70
195000,14,70
196000,14,70
197000,14,70
198000,14,70
199000,14,70
200000,14,70
