Weights
[0.04448609 0.95551391]
[0.36904679 0.63095321]
[0.20245994 0.79754006]
[-0.00758882  1.00758882]
[ 47.62352764 -46.62352764]
[-0.05357482  1.05357482]
[0.95279471 0.04720529]
[ 5.4436841 -4.4436841]
[ 7.50326298 -6.50326298]
[-1.28409021  2.28409021]
[-1.50649716e-04  1.00015065e+00]
[0.83827349 0.16172651]
[ 1.31736274 -0.31736274]
