time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,1,300
10000,1,300
11000,1,300
12000,4,30
13000,5,30
14000,5,30
15000,5,30
16000,6,30
17000,7,30
18000,8,30
19000,8,30
20000,9,10
21000,9,10
22000,11,10
23000,13,28
24000,13,28
25000,13,28
26000,14,28
27000,14,28
28000,14,28
29000,14,28
30000,14,28
31000,15,28
32000,16,28
33000,17,28
34000,17,28
35000,20,27
36000,21,27
37000,21,27
38000,22,27
39000,22,27
40000,22,27
41000,22,27
42000,22,27
43000,23,5
44000,23,5
45000,23,5
46000,23,5
47000,23,5
48000,24,5
49000,24,5
50000,24,5
51000,24,5
52000,24,5
53000,24,5
54000,24,5
55000,25,5
56000,25,5
57000,25,5
58000,25,5
59000,25,5
60000,25,5
61000,26,5
62000,27,5
63000,28,5
64000,28,5
65000,28,5
66000,28,5
67000,28,5
68000,28,5
69000,28,5
70000,28,5
71000,28,5
72000,28,5
73000,29,5
74000,29,5
75000,30,5
76000,30,5
77000,30,5
78000,31,5
79000,31,5
80000,31,5
81000,31,5
82000,31,5
83000,31,5
84000,31,5
85000,32,5
86000,34,5
87000,34,5
88000,34,5
89000,34,5
90000,35,5
91000,35,5
92000,36,5
93000,36,5
94000,36,5
95000,36,5
96000,36,5
97000,36,5
98000,36,5
99000,36,5
100000,36,5
101000,36,5
102000,36,5
103000,36,5
104000,36,5
105000,36,5
106000,36,5
107000,36,5
108000,36,5
109000,36,5
110000,36,5
111000,36,5
112000,36,5
113000,36,5
114000,36,5
115000,37,5
116000,37,5
117000,37,5
118000,37,5
119000,37,5
120000,37,5
121000,37,5
122000,37,5
123000,37,5
124000,37,5
125000,37,5
126000,37,5
127000,37,5
128000,37,5
129000,37,5
130000,37,5
131000,37,5
132000,38,5
133000,38,5
134000,39,5
135000,39,5
136000,39,5
137000,39,5
138000,39,5
139000,39,5
140000,39,5
141000,39,5
142000,39,5
143000,39,5
144000,39,5
145000,39,5
146000,39,5
147000,39,5
148000,39,5
149000,39,5
150000,41,5
151000,41,5
152000,41,5
153000,41,5
154000,41,5
155000,42,5
156000,42,5
157000,43,5
158000,43,5
159000,43,5
160000,43,5
161000,43,5
162000,43,5
163000,43,5
164000,43,5
165000,43,5
166000,43,5
167000,43,5
168000,43,5
169000,43,5
170000,43,5
171000,44,5
172000,44,5
173000,44,5
174000,45,5
175000,46,5
176000,46,5
177000,47,5
178000,47,5
179000,47,5
180000,47,5
181000,47,5
182000,47,5
183000,47,5
184000,47,5
185000,47,5
186000,47,5
187000,47,5
188000,47,5
189000,49,5
190000,49,5
191000,49,5
192000,49,5
193000,49,5
194000,49,5
195000,49,5
196000,49,5
197000,49,5
198000,49,5
199000,49,5
200000,49,5
