time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,1,253
8000,1,253
9000,2,253
10000,5,74
11000,5,74
12000,6,48
13000,6,48
14000,6,48
15000,6,48
16000,8,19
17000,9,19
18000,9,19
19000,10,19
20000,12,19
21000,12,19
22000,14,19
23000,16,19
24000,18,19
25000,18,19
26000,20,19
27000,20,19
28000,20,19
29000,20,19
30000,20,19
31000,20,19
32000,20,19
33000,20,19
34000,20,19
35000,21,19
36000,21,19
37000,21,19
38000,21,19
39000,21,19
40000,21,19
41000,23,19
42000,23,19
43000,23,19
44000,24,19
45000,24,19
46000,24,19
47000,24,19
48000,25,19
49000,25,19
50000,25,19
51000,26,19
52000,26,19
53000,26,19
54000,26,19
55000,26,19
56000,26,19
57000,26,19
58000,26,19
59000,26,19
60000,26,19
61000,26,19
62000,26,19
63000,27,19
64000,27,19
65000,27,19
66000,28,19
67000,29,19
68000,29,19
69000,30,19
70000,30,19
71000,30,19
72000,30,19
73000,30,19
74000,30,19
75000,31,19
76000,31,19
77000,31,19
78000,32,19
79000,32,19
80000,32,19
81000,32,19
82000,32,19
83000,32,19
84000,32,19
85000,32,19
86000,32,19
87000,32,19
88000,33,19
89000,34,19
90000,34,19
91000,34,19
92000,35,19
93000,35,19
94000,35,19
95000,35,19
96000,35,19
97000,35,19
98000,35,19
99000,36,19
100000,36,19
101000,36,19
102000,36,19
103000,37,19
104000,37,19
105000,37,19
106000,37,19
107000,37,19
108000,37,19
109000,37,19
110000,37,19
111000,37,19
112000,37,19
113000,37,19
114000,37,19
115000,37,19
116000,38,19
117000,38,19
118000,38,19
119000,38,19
120000,38,19
121000,38,19
122000,38,19
123000,38,19
124000,38,19
125000,38,19
126000,38,19
127000,38,19
128000,38,19
129000,38,19
130000,39,19
131000,40,19
132000,40,19
133000,40,19
134000,40,19
135000,40,19
136000,40,19
137000,40,19
138000,40,19
139000,40,19
140000,41,19
141000,41,19
142000,41,19
143000,41,19
144000,41,19
145000,41,19
146000,41,19
147000,41,19
148000,41,19
149000,41,19
150000,41,19
151000,41,19
152000,41,19
153000,41,19
154000,41,19
155000,41,19
156000,41,19
157000,41,19
158000,41,19
159000,41,19
160000,41,19
161000,41,19
162000,41,19
163000,41,19
164000,41,19
165000,42,19
166000,42,19
167000,42,19
168000,42,19
169000,42,19
170000,42,19
171000,42,19
172000,42,19
173000,43,19
174000,43,19
175000,43,19
176000,43,19
177000,43,19
178000,43,19
179000,43,19
180000,43,19
181000,43,19
182000,43,19
183000,43,19
184000,43,19
185000,43,19
186000,43,19
187000,43,19
188000,43,19
189000,43,19
190000,43,19
191000,43,19
192000,43,19
193000,43,19
194000,43,19
195000,43,19
196000,43,19
197000,43,19
198000,43,19
199000,43,19
200000,43,19
