E_ele,M_ele
0.1422785996909246,0.012195121949732303
0.13684924769734416,0.012195121949732303
0.14228795272669661,0.012195121949732303
0.12303326636371807,0.012195121949732303
0.17799233153633656,0.012195121949732303
0.12303313758569508,0.012195121949732303
0.17799112414131443,0.012195121949732303
0.14229362491515493,0.0124999999984375
0.03314026900769175,0.012195121949732303
0.012327651760227562,0.012195121949732303
0.033144455417846386,0.012195121949732303
0.24952948427969027,0.012195121949732303
0.012826486129979399,0.012195121949732303
0.02946268384832734,0.012195121949732303
0.012830498348192984,0.012195121949732303
0.17640849196771077,0.012195121949732303
0.012832155771744113,0.012195121949732303
0.006376405609528084,0.012195121949732303
0.012833322058701116,0.012195121949732303
0.009431420343532277,0.012345679010821523
0.021544715012104792,0.012658227846498959
0.00873233204157746,0.012195121949732303
0.020188671905885934,0.013888888886959877
0.020386471555577566,0.013513513511687364
0.009163419333536397,0.012345679010821523
0.01552713689226007,0.013333333331555557
0.009088473548035405,0.013698630135109777
0.01230765466247625,0.012820512818869166
0.011717531728332255,0.023255813948080042
0.005972787809966689,0.1999999996
0.14073920270743773,0.4999999975
0.004666071218586819,0.014084507040269789
0.13693868483782215,0.013513513511687364
0.004665696860163334,0.019230769227071006
0.019944414665216417,0.014084507040269789
0.047770017468387355,0.014084507040269789
0.019944520027623834,0.014925373132100692
0.014507287228588489,0.0188679245247419
0.011352347553733504,0.019230769227071006
0.010642725732406854,0.0188679245247419
0.010642720947601748,0.01612903225546306
0.0106427312697361,0.027777777770061726
0.010232196488775025,0.029411764697231835
